"","date","development","nexus","name_of_project","project_status","project_budget","date_rec"
"1","2018","Finland","Resilience Humanitarian and Development","Resilience through Disaster Response Management: Multipurpose Cash Preparedness & Comprehensive School Safety","Completed",136611,"2018"
"2","2018","Finland","Resilience Humanitarian and Development","FA JJA Community-based Rehabilitation","Completed",249965,"2018"
"3","2018","Germany","Resilience Humanitarian and Development","Improving nutrition security of highly vulnerable households in Chipinge District","Completed",433928,"2018"
"4","2018","Germany","Resilience Humanitarian and Development","Resilience to the effects of climate change through integrated water resources management in Zimbabwe","Completed",469233,"2018"
"5","2019","Germany","Resilience Humanitarian and Development","Construction of a Bridge","Completed",10088,"2019"
"6","2019","Germany","Resilience Humanitarian and Development","Sim MDTF (Multi-Donor Trust) Fund","Completed",26352500,"2019"
"7","2019","Germany","Resilience Humanitarian and Development","Municipal water & sanitation","Completed",499940,"2019"
"8","2019","Germany","Resilience Humanitarian and Development","Municipal water & sanitation","Completed",555629,"2019"
"9","2020","Germany","Resilience Humanitarian and Development","Immediate Relief to Malawi & Zimbabwe","Completed",10742,"2020"
"10","2018","Ireland","Resilience Humanitarian and Development","Immediate Relief to Malawi & Zimbabwe","Completed",297716,"2018"
"11","2018","Ireland","Resilience Humanitarian and Development","Safe water for St, Boniface Primary School in Shurugwi Rural","Completed",455374,"2018"
"12","2018","Ireland","Resilience Humanitarian and Development","Construction of a Bridge","Completed",606541,"2018"
"13","2018","EU/EC","Resilience Humanitarian and Development","HALO Demining Programme Year 1","Completed",0,"2018"
"14","2019","EU/EC","Resilience Humanitarian and Development","Households and communities shave food and nutrition security in Zimbabwe","Completed",277814,"2019"
"15","2019","EU/EC","Resilience Humanitarian and Development","Resilience Building & Food & Nutrition Security Programme","Completed",7067850,"2019"
"16","2019","EU/EC","Resilience Humanitarian and Development","Provision of post Cyclone Idai Humanitarian Ais Services in Zimbabwe","Completed",455374,"2019"
"17","2019","EU/EC","Resilience Humanitarian and Development","ZRBF","Completed",277814,"2019"
"18","2019","EU/EC","Resilience Humanitarian and Development","Support to WASH Interventions for Cholera Response in Harare & aother affected urban settings in Zimbabwe","Completed",1111260,"2019"
"19","2019","EU/EC","Resilience Humanitarian and Development","Support to WASH interventions for Humanitarian Response to Cyclone Idai in Zimbabwe.","Completed",5556290,"2019"
