"","date","development","nexus","name_of_project","project_status","project_budget","date_rec"
"1","2019","Germany","Social protection","Combating Human Trafficking in Zimbabwe: The role of NGOs in the fight against Human Trafficking in Zimbabwe.","Completed",66515,"2019"
"2","2018","Sweden","Social protection","Project Funding for German Evangelical Church Abroad","Completed",66967,"2018"
"3","2018","Sweden","Social protection","Church of Sweden Framework","Completed",4524,"2018"
"4","2018","Sweden","Social protection","Church of Sweden Framework","Completed",411449,"2018"
"5","2018","Sweden","Social protection","Church of Sweden Framework","Completed",391842,"2018"
"6","2018","Sweden","Social protection","Church of Sweden Framework","Completed",28732,"2018"
"7","2018","Sweden","Social protection","Church of Sweden Framework","Completed",97960,"2018"
"8","2018","Sweden","Social protection","Church of Sweden Framework","Completed",226357,"2018"
"9","2018","Sweden","Social protection","Church of Sweden Framework","Completed",38698,"2018"
"10","2018","Sweden","Social protection","Church of Sweden Framework","Completed",5429,"2018"
"11","2018","Sweden","Social protection","Church of Sweden Framework","Completed",53167,"2018"
"12","2018","Sweden","Social protection","Church of Sweden Framework","Completed",17533,"2018"
"13","2018","Sweden","Social protection","Church of Sweden Framework","Completed",65610,"2018"
"14","2018","Sweden","Social protection","Church of Sweden Framework","Completed",287780,"2018"
"15","2018","Sweden","Social protection","Church of Sweden Framework","Completed",271000,"2018"
"16","2018","Sweden","Social protection","Church of Sweden Framework","Completed",7676,"2018"
"17","2018","Germany","Social protection","Prevention of Childhood hearing impairment through strengthening the environmental services in Zimbabwe","Completed",10033,"2018"
"18","2019","Germany","Social protection","Prevention of Childhood hearing impairment through strengthening the environmental services in Zimbabwe","Completed",538324,"2019"
"19","2019","Germany","Social protection","Enhance capacity of ZPCS in the provision of rehabilitation & reintegration services to child offenders","Completed",656.93,"2019"
"20","2018","Ireland","Social protection","Marginalisedwomen, men realiserights by having equitable access to land, housing, basic services & secure livelihoods","Completed",189735,"2018"
"21","2018","Ireland","Social protection","The Redemptorists Mavambo Trust OVC Learning Centre","Completed",180812,"2018"
"22","2019","Netherlands","Social protection","Toolkit for Agenda 2030","Completed",1697,"2019"
"23","2018","UK","Social protection","Contribution to UNICEF managed multi-donor fund to improve the well-being of children, families & communities","Active",2091510,"2018"
"24","2018","UK","Social protection","Evaluation & Learning Unit of the SAFE Programme","Active",308539,"2018"
"25","2018","UK","Social protection","Building trans-disciplinary partnerships for exploring the impact of population displacement","Active",239994.81,"2018"
